OBJECTID;INPUT_FID;NEAR_FID;DISTANCE;DIST_KM;Kabupaten_;Kabupaten1;FID_;Kabupate_1
1;1;23;301324,93190900000;301,32493190900;1;Asahan;23;Nias Selatan
2;1;20;225539,85538700000;225,53985538700;1;Asahan;20;Mandailing Natal
3;1;22;302207,53180400000;302,20753180400;1;Asahan;22;Nias Barat
4;1;21;280651,92016200000;280,65192016200;1;Asahan;21;Nias
5;1;25;186586,94845200000;186,58694845200;1;Asahan;25;Padang Lawas
6;1;24;296012,24386900000;296,01224386900;1;Asahan;24;Nias Utara
7;1;9;278162,28684300000;278,16228684300;1;Asahan;9;Kota Gunungsitoli
8;1;31;162788,63182300000;162,78863182300;1;Asahan;31;Tapanuli Selatan
9;1;11;158928,25073600000;158,92825073600;1;Asahan;11;Kota Padangsidimpuan
10;1;26;135649,62625300000;135,64962625300;1;Asahan;26;Padang Lawas Utara
11;1;13;146033,10129100000;146,03310129100;1;Asahan;13;Kota Sibolga
12;1;17;123861,79780500000;123,86179780500;1;Asahan;17;Labuhan Batu Selatan
13;1;32;142772,16067500000;142,77216067500;1;Asahan;32;Tapanuli Tengah
14;1;33;105746,93687000000;105,74693687000;1;Asahan;33;Tapanuli Utara
15;1;6;125306,57081700000;125,30657081700;1;Asahan;6;Humbang Hasundutan
16;1;16;79714,21775020000;79,71421775020;1;Asahan;16;Labuhan Batu
17;1;4;75687,25500070000;75,68725500070;1;Asahan;4;Danau Toba
18;1;34;57793,59006740000;57,79359006740;1;Asahan;34;Toba Samosir
19;1;18;48539,43141930000;48,53943141930;1;Asahan;18;Labuhan Batu Utara
20;1;27;149971,99535500000;149,97199535500;1;Asahan;27;Pakpak Bharat
21;1;28;86750,22905130000;86,75022905130;1;Asahan;28;Samosir
22;1;30;57635,91597850000;57,63591597850;1;Asahan;30;Simalungun
23;1;3;144464,26452300000;144,46426452300;1;Asahan;3;Dairi
24;1;12;59033,25627780000;59,03325627780;1;Asahan;12;Kota Pematang Siantar
25;1;14;30901,49740460000;30,90149740460;1;Asahan;14;Kota Tanjung Balai
26;1;7;145434,66629800000;145,43466629800;1;Asahan;7;Karo
27;1;2;48463,61610530000;48,46361610530;1;Asahan;2;Batu Bara
28;1;29;85466,57253840000;85,46657253840;1;Asahan;29;Serdang Bedagai
29;1;15;73683,51132240000;73,68351132240;1;Asahan;15;Kota Tebing Tinggi
30;1;5;113243,46402300000;113,24346402300;1;Asahan;5;Deli Serdang
31;1;8;148492,70022500000;148,49270022500;1;Asahan;8;Kota Binjai
32;1;10;132371,60648800000;132,37160648800;1;Asahan;10;Kota Medan
