Kabupaten/Kota;BPR/S;LKM/S;Pegadaian;Bank;ATM;RS Umum;RS Swasta/Khusus;Puskesmas;Poliklinik (Klinik Pratama);Posyandu/Polindes;TK;KB;TPA;SPS;PKBM;SKB;SD;SMP;SMA;SMK;SLB;Akademi;Politeknik;Sekolah Tinggi;Institut;Universitas;Jumlah Guru TK;Jumlah Guru KB;Jumlah Guru TPA;Jumlah Guru SPS;Jumlah Guru PKBM;Jumlah Guru SKB;Jumlah Guru SD;Jumlah Guru SMP;Jumlah Guru SMA;Jumlah Guru SMK;Jumlah Guru SLB;Pserta Didik TK;Pserta Didik KB;Pserta Didik TPA;Pserta Didik SPS;Pserta Didik PKBM;Pserta Didik SKB;Pserta Didik SD;Pserta Didik SMP;Pserta Didik SMA;Pserta Didik SMK;Pserta Didik SLB;Jumlah Penduduk;Kepadatan Penduduk;PDRB per Kapita;Tenaga Medis Dokter;Tenaga Medis Perawat;Tenaga Medis Bidan;Tenaga Medis Tenaga Kefarmasian;Tenaga Medis Tenaga Gizi;analisis proximity (jarak) ;Kepadatan Fasilitas Luas Wilayah Km2;Kepadatan Fasilitas Keuangan;Kepadatan Fasilitas Kesehatan;Kepadatan Fasilitas Pendidikan
Asahan;4;59;11;120;117;11;0;29;74;946;160;236;5;11;11;1;449;122;43;40;3;7;0;4;1;1;468;494;4;25;51;7;4,101;1,696;804;707;28;5,465;5,594;70;273;2,537;17;67,59;25,795;15,478;12,51;255;824,60;221;57.457,93;152;631;954;61;46;142,09;3737,83;311;1060;1094
Batu Bara;3;10;2;14;73;3;0;15;62;522;166;146;0;30;20;0;248;64;26;25;1;0;0;1;0;0;468;314;0;47;96;0;2,655;1,023;446;474;30;4,187;3,83;0;616;2,293;0;45,572;16,179;7,955;7,659;177;444;500;47.317,58;99;295;484;11;18;157,89;888,14;102;602;727
Binjai;1;80;8;120;117;11;0;8;111;241;84;33;0;6;5;1;172;61;32;24;4;5;0;8;0;0;304;104;0;16;48;13;2,142;978;651;538;70;2,799;1,13;0;145;1,126;315;30,143;15,542;10,222;8,04;382;336,40;161;12.693,88;76;332;446;37;28;177,34;208,68;326;371;435
Dairi;3;20;2;47;34;1;0;18;55;489;29;135;0;0;2;1;261;61;25;16;1;1;0;2;0;0;90;215;0;0;3;7;2,824;1,339;581;431;6;1,227;2,295;0;0;143;105;35,698;18,867;11,341;6,782;30;2.078,00;805;151.451,40;786;1.833;1.727;202;112;144,87;2083,6;106;563;543
Deli Serdang;35;58;73;120;120;20;1;34;343;1471;613;289;1;6;106;2;970;362;144;130;9;14;1;26;6;4;1,67;639;3;11;573;10;11,472;4,789;2,236;2,378;116;21,11;7,607;18;136;13,165;109;195,466;81,793;38,827;42,372;976;209,5;89;8.272,39;49;268;330;20;28;163,50;2351,51;406;1869;2683
Gunungsitoli;6;33;1;53;34;1;0;8;54;164;28;51;0;21;15;1;107;34;11;12;3;1;0;6;0;1;141;138;0;57;45;6;1,314;721;307;387;29;1,748;1,515;0;447;1,225;296;15,736;8,806;5,417;4,562;200;432;196;28.867,89;171;459;634;60;39;210,95;279,29;127;227;291
Humbang Hasundutan;5;7;2;54;37;1;0;12;25;253;25;188;1;0;3;0;216;49;17;13;1;2;0;2;0;0;112;354;2;0;1;0;1,975;952;488;381;12;1,042;3,71;63;0;89;0;24,854;13,6;8,822;4,961;76;310,9;3.316;15.588,75;400;791;606;88;43;124,85;2206,88;105;291;517
Karo;6;56;5;119;70;3;1;19;93;377;103;87;1;0;4;1;287;72;26;12;3;5;0;3;0;2;220;136;0;0;8;23;2,517;1,205;752;353;29;3,189;1,918;0;0;98;178;41,368;19,533;13,108;5,258;182;147,5;707;7.321,91;60;205;383;13;7;154,61;93,77;256;493;606
Labuhan Batu;3;52;9;120;116;6;0;15;191;541;75;197;9;0;17;1;290;68;35;32;1;4;0;5;0;3;201;403;13;0;84;3;3,073;1,021;731;592;7;2,886;5,588;371;0;2,472;200;47,254;15,799;11,978;9,398;99;2.498,30;8.945;329.609,17;5.145;5.240;1.370;897;262;169,99;3079,61;300;753;737
Labuhanbatu Selatan;6;50;5;94;72;3;0;17;91;305;108;78;0;0;9;0;208;51;17;26;0;0;0;0;0;0;259;177;0;0;26;0;2,259;603;333;344;0;3,254;2,031;0;0;1,08;0;33,617;9,425;6,066;5,599;0;243,8;1.531;8.576,98;128;363;520;32;18;184,05;3686,01;227;416;497
Labuhanbatu Utara;7;58;10;108;59;7;0;18;68;524;96;85;0;7;7;0;294;57;17;22;1;0;0;1;0;0;267;205;0;14;16;0;3,437;990;471;435;14;2,744;2,44;0;172;438;0;38,102;11,521;8,511;5,908;105;279,2;3.678;17.351,67;286;1.011;388;89;58;147,13;6140,04;242;617;587
