FID;Kabupaten_Kota;Indeks_Kesenjangan;Kategori_Kesenjangan
0;Asahan;821,6666667;Berkembang
1;Batu Bara;477;Berkembang
2;Dairi;404;Potensi
3;Danau Toba;0;0
4;Deli Serdang;1652,666667;Berkembang
5;Humbang Hasundutan;304,3333333;Prioritas Tinggi
6;Karo;451,6666667;Potensi
7;Kota Binjai;377,3333333;Potensi
8;Kota Gunungsitoli;215;Prioritas Tinggi
9;Kota Medan;1816,666667;Berkembang
10;Kota Padangsidimpuan;235;Prioritas Tinggi
11;Kota Pematang Siantar;377,6666667;Potensi
12;Kota Sibolga;149,3333333;Prioritas Tinggi
13;Kota Tanjung Balai;171;Prioritas Tinggi
14;Kota Tebing Tinggi;234,6666667;Prioritas Tinggi
15;Labuhan Batu;596,6666667;Berkembang
16;Labuhan Batu Selatan;380;Potensi
17;Labuhan Batu Utara;482;Berkembang
18;Langkat;1193,666667;Berkembang
19;Mandailing Natal;518,3333333;Berkembang
20;Nias;240,3333333;Prioritas Tinggi
21;Nias Barat;179;Prioritas Tinggi
22;Nias Selatan;515,3333333;Berkembang
23;Nias Utara;255;Prioritas Tinggi
24;Padang Lawas;340;Potensi
25;Padang Lawas Utara;333,3333333;Potensi
26;Pakpak Bharat;101,6666667;Prioritas Tinggi
27;Samosir;268,3333333;Prioritas Tinggi
28;Serdang Bedagai;763,6666667;Berkembang
29;Simalungun;1083;Berkembang
30;Tapanuli Selatan;462,3333333;Potensi
31;Tapanuli Tengah;446,3333333;Potensi
32;Tapanuli Utara;470;Potensi
33;Toba Samosir;356,3333333;Potensi
