Sumatera_Utara_ADMIN_BPS_Pro3.OBJECTID;Sumatera_Utara_ADMIN_BPS_Pro3.Kabupaten;Sumatera_Utara_ADMIN_BPS_Pro3.Shape_Length;Sumatera_Utara_ADMIN_BPS_Pro3.Shape_Area;Sumatera_Utara_ADMIN_BPS_Pro3.Kepadatan_Keuangan;Sumatera_Utara_ADMIN_BPS_Pro3.Kepadatan_Kesehatan;Sumatera_Utara_ADMIN_BPS_Pro3.Kepadatan_Pendidikan;Kepadatan_Fasilitas.csv.FID;Kepadatan_Fasilitas.csv.PROVINCE;Kepadatan_Fasilitas.csv.Kabupaten;Kepadatan_Fasilitas.csv.Luas_Wilayah_KM2;Kepadatan_Fasilitas.csv.Fasilitas_Keuangan;Kepadatan_Fasilitas.csv.Fasilitas_Kesehatan;Kepadatan_Fasilitas.csv.Fasilitas_Pendidikan
1;Asahan;398237,4145;3778540036;0,083203356;0,283587001;0,292683188;0;Sumatera Utara;Asahan;3737,83;311;1060;1094
2;Batu Bara;241079,7074;912113266,6;0,114846758;0,677821064;0,818564641;1;Sumatera Utara;Batu Bara;888,14;102;602;727
3;Dairi;251461,8124;1991327253;0,050873488;0,270205414;0,260606642;2;Sumatera Utara;Dairi;2083,6;106;563;543
4;Danau Toba;490573,4324;1101230333;0;0;0;3;Sumatera Utara;Danau Toba;2581,23;0;0;0
5;Deli Serdang;495874,1633;2591979881;0,172655017;0,794808442;1,140968994;4;Sumatera Utara;Deli Serdang;2351,51;406;1869;2683
6;Humbang Hasundutan;266698,7822;2529480947;0,047578482;0,131860364;0,234267382;5;Sumatera Utara;Humbang Hasundutan;2206,88;105;291;517
7;Karo;300281,8706;2174828922;2,730084249;5,257545057;6,462621307;6;Sumatera Utara;Karo;93,77;256;493;606
8;Kota Binjai;70088,35501;94137382,7;1,562200498;1,777841671;2,08453134;7;Sumatera Utara;Kota Binjai;208,68;326;371;435
9;Kota Gunungsitoli;129097,2238;311767837;0,45472448;0,812775252;1,041927745;8;Sumatera Utara;Kota Gunungsitoli;279,29;127;227;291
10;Kota Medan;180598,8232;283110062,5;3,032015066;14,08035154;17,09981168;9;Sumatera Utara;Kota Medan;159,3;483;2243;2724
11;Kota Padangsidimpuan;61629,34855;134442193,2;2,687038988;2,910958904;3,688092729;10;Sumatera Utara;Kota Padangsidimpuan;75,92;204;221;280
